Holdings details

Value ETF (VTV)


Equity,as of 02/29/2024

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SECTOR,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,BQ84ZQ6,Kenvue Inc,KVUE,0.17%,Personal Care Products,US,---,"$273,694,620.00","14,404,980"
,B5B1S13,Dollar General Corp,DG,0.16%,Consumer Staples Distribution & Retail,US,---,"$266,653,731.08","1,835,068"
,2455965,Biogen Inc,BIIB,0.16%,Biotechnology,US,---,"$262,811,561.31","1,211,169"
,2740542,Arch Capital Group Ltd,ACGL,0.16%,Insurance,US,---,"$259,526,717.48","2,962,972"
,2707677,Public Service Enterprise Group Inc,PEG,0.16%,Multi-Utilities,US,---,"$258,978,782.40","4,150,301"
,BYWH073,VICI Properties Inc,VICI,0.16%,Specialized REITs,US,---,"$258,803,423.01","8,646,957"
,2272476,Dollar Tree Inc,DLTR,0.16%,Consumer Staples Distribution & Retail,US,---,"$256,275,775.68","1,747,176"
,B3P2CN8,Xylem Inc/NY,XYL,0.16%,Machinery,US,---,"$256,042,213.35","2,015,287"
,B1YLC43,Discover Financial Services,DFS,0.16%,Consumer Finance,US,---,"$252,263,482.80","2,090,004"
,2216850,Consolidated Edison Inc,ED,0.15%,Multi-Utilities,US,---,"$251,330,760.63","2,881,903"
,BYT3MK1,Fortive Corp,FTV,0.15%,Machinery,US,---,"$250,119,261.18","2,938,086"
,B02HWR9,Extra Space Storage Inc,EXR,0.15%,Specialized REITs,US,---,"$248,948,790.90","1,765,970"
,BD3W133,Keurig Dr Pepper Inc,KDP,0.15%,Beverages,US,---,"$243,909,021.15","8,154,765"
,2614807,Xcel Energy Inc,XEL,0.15%,Electric Utilities,US,---,"$242,986,152.42","4,611,618"
,2476193,Hartford Financial Services Group Inc/The,HIG,0.15%,Insurance,US,---,"$239,999,844.48","2,504,172"
,2047317,Archer-Daniels-Midland Co,ADM,0.15%,Food Products,US,---,"$236,822,641.67","4,459,097"
,2480677,Devon Energy Corp,DVN,0.15%,"Oil, Gas & Consumable Fuels",US,---,"$236,009,460.82","5,356,547"
,BDB6Q21,Willis Towers Watson PLC,WTW,0.14%,Insurance,US,---,"$235,292,689.71","863,111"
,BYRY499,Kraft Heinz Co/The,KHC,0.14%,Food Products,US,---,"$235,196,272.08","6,666,561"
,2175672,Cardinal Health Inc,CAH,0.14%,Health Care Providers & Services,US,---,"$230,702,091.84","2,060,208"
,B5BKPQ4,Motorola Solutions Inc,MSI,0.14%,Communications Equipment,US,---,"$229,204,758.60","693,740"
,B1W9D46,Delta Air Lines Inc,DAL,0.14%,Passenger Airlines,US,---,"$227,039,524.98","5,371,174"
,BQZJ0Q9,Keysight Technologies Inc,KEYS,0.14%,"Electronic Equipment, Instruments & Components",US,---,"$225,204,244.60","1,459,522"
,BK0VN47,DuPont de Nemours Inc,DD,0.14%,Chemicals,US,---,"$223,802,735.09","3,234,611"
,B6WVMH3,CBRE Group Inc,CBRE,0.14%,Real Estate Management & Development,US,---,"$222,450,987.60","2,420,840"
,2497406,Kroger Co/The,KR,0.13%,Consumer Staples Distribution & Retail,US,---,"$218,862,799.87","4,411,667"
,2829515,Edison International,EIX,0.13%,Electric Utilities,US,---,"$218,110,619.32","3,206,566"
,B3SPXZ3,LyondellBasell Industries NV,LYB,0.13%,Chemicals,US,---,"$217,509,927.28","2,169,026"
,2783815,Zimmer Biomet Holdings Inc,ZBH,0.13%,Health Care Equipment & Supplies,US,---,"$217,238,017.28","1,746,848"
,2702337,T Rowe Price Group Inc,TROW,0.13%,Capital Markets,US,---,"$211,749,928.45","1,868,107"
,2955733,Westinghouse Air Brake Technologies Corp,WAB,0.13%,Machinery,US,---,"$211,632,921.98","1,497,862"
,BYX4D52,HP Inc,HPQ,0.13%,"Technology Hardware, Storage & Peripherals",US,---,"$210,510,937.76","7,430,672"
,2958936,Weyerhaeuser Co,WY,0.13%,Specialized REITs,US,---,"$209,803,434.30","6,102,485"
,2131179,AvalonBay Communities Inc,AVB,0.13%,Residential REITs,US,---,"$208,950,279.30","1,180,310"
,BYY8XK8,WEC Energy Group Inc,WEC,0.13%,Multi-Utilities,US,---,"$206,961,097.67","2,636,783"
,2224701,Corning Inc,GLW,0.13%,"Electronic Equipment, Instruments & Components",US,---,"$206,958,651.12","6,419,313"
,2293819,eBay Inc,EBAY,0.13%,Broadline Retail,US,---,"$205,156,241.28","4,339,176"
,BHKD3S6,Dell Technologies Inc,DELL,0.12%,"Technology Hardware, Storage & Peripherals",US,---,"$201,196,990.20","2,125,470"
,2336747,Fifth Third Bancorp,FITB,0.12%,Banks,US,---,"$195,621,244.00","5,696,600"
,2708841,PulteGroup Inc,PHM,0.12%,Household Durables,US,---,"$194,565,618.46","1,795,217"
,2340168,M&T Bank Corp,MTB,0.12%,Banks,US,---,"$193,972,255.56","1,388,094"
,2278407,Dover Corp,DOV,0.12%,Machinery,US,---,"$193,421,502.04","1,169,558"
,B2R3PV1,American Water Works Co Inc,AWK,0.12%,Water Utilities,US,---,"$193,017,852.22","1,628,293"
,2212706,Molina Healthcare Inc,MOH,0.12%,Health Care Providers & Services,US,---,"$192,018,913.79","487,469"
,BVFTF03,Iron Mountain Inc,IRM,0.12%,Specialized REITs,US,---,"$191,974,395.20","2,441,180"
,2637785,NVR Inc,NVR,0.12%,Household Durables,US,---,"$191,760,208.79","25,147"
,2965107,Nasdaq Inc,NDAQ,0.12%,Capital Markets,US,---,"$189,703,774.40","3,375,512"
,2718992,Raymond James Financial Inc,RJF,0.12%,Capital Markets,US,---,"$188,844,887.04","1,569,522"
,BDR73G1,IQVIA Holdings Inc,IQV,0.12%,Life Sciences Tools & Services,US,---,"$188,446,894.84","762,449"
,2319157,Equity Residential,EQR,0.11%,Residential REITs,US,---,"$181,566,265.50","3,015,550"
,2009210,Alexandria Real Estate Equities Inc,ARE,0.11%,Office REITs,US,---,"$181,211,735.36","1,452,832"
,2724193,Realty Income Corp,O,0.11%,Retail REITs,US,---,"$180,993,663.00","3,473,300"
,2842040,State Street Corp,STT,0.11%,Capital Markets,US,---,"$180,673,226.83","2,450,471"
,2317087,Entergy Corp,ETR,0.11%,Electric Utilities,US,---,"$179,537,671.25","1,767,625"
,B3Z5T14,Garmin Ltd,GRMN,0.11%,Household Durables,US,---,"$175,795,501.15","1,279,909"
,2367480,Genuine Parts Co,GPC,0.11%,Distributors,US,---,"$174,976,602.44","1,172,294"
,2085102,Baxter International Inc,BAX,0.11%,Health Care Equipment & Supplies,US,---,"$173,640,337.20","4,243,410"
,2289874,Darden Restaurants Inc,DRI,0.11%,"Hotels, Restaurants & Leisure",US,---,"$171,673,145.82","1,005,642"
,BVVN4Q8,Eversource Energy,ES,0.11%,Electric Utilities,US,---,"$171,445,794.40","2,920,712"
,2831543,Southwest Airlines Co,LUV,0.11%,Passenger Airlines,US,---,"$170,777,965.16","4,983,308"
,B5834C5,Cboe Global Markets Inc,CBOE,0.10%,Capital Markets,US,---,"$169,349,952.00","882,031"
,2073022,Ball Corp,BALL,0.10%,Containers & Packaging,US,---,"$168,772,532.94","2,636,247"
,2100920,FirstEnergy Corp,FE,0.10%,Electric Utilities,US,---,"$166,824,521.22","4,556,802"
,BYVYWS0,Hewlett Packard Enterprise Co,HPE,0.10%,"Technology Hardware, Storage & Peripherals",US,---,"$163,306,873.30","10,722,710"
,2680905,PPL Corp,PPL,0.10%,Electric Utilities,US,---,"$162,464,119.65","6,160,945"
,2954699,Western Digital Corp,WDC,0.10%,"Technology Hardware, Storage & Peripherals",US,---,"$161,180,708.42","2,710,286"
,2803014,Principal Financial Group Inc,PFG,0.10%,Insurance,US,---,"$161,170,475.44","1,993,204"
,2464165,International Flavors & Fragrances Inc,IFF,0.10%,Chemicals,US,---,"$161,117,679.50","2,134,009"
,BM8JYX3,Warner Bros Discovery Inc,WBD,0.10%,Entertainment,US,---,"$160,718,733.30","18,284,270"
,B4R28B3,FleetCor Technologies Inc,FLT,0.10%,Financial Services,US,---,"$159,984,287.82","572,866"
,2204026,Clorox Co/The,CLX,0.10%,Household Products,US,---,"$159,020,030.95","1,037,245"
,2280220,DTE Energy Co,DTE,0.10%,Multi-Utilities,US,---,"$158,671,965.65","1,464,439"
,2445966,Huntington Bancshares Inc/OH,HBAN,0.10%,Banks,US,---,"$157,877,366.40","12,107,160"
,2566436,Markel Group Inc,MKL,0.10%,Insurance,US,---,"$156,705,922.56","104,997"
,2050832,Ameren Corp,AEE,0.10%,Multi-Utilities,US,---,"$156,219,336.00","2,194,400"
,2630643,NetApp Inc,NTAP,0.10%,"Technology Hardware, Storage & Peripherals",US,---,"$155,507,983.36","1,744,928"
,BNGC0D3,Jacobs Solutions Inc,J,0.10%,Professional Services,US,---,"$154,488,735.80","1,053,452"
,2586122,Laboratory Corp of America Holdings,LH,0.09%,Health Care Providers & Services,US,---,"$153,178,651.77","709,719"
,2196888,Cincinnati Financial Corp,CINF,0.09%,Insurance,US,---,"$149,537,790.00","1,311,735"
,2572079,Martin Marietta Materials Inc,MLM,0.09%,Construction Materials,US,---,"$149,074,599.24","258,044"
,2433530,Hologic Inc,HOLX,0.09%,Health Care Equipment & Supplies,US,---,"$148,063,759.20","2,006,284"
,2279303,Omnicom Group Inc,OMC,0.09%,Media,US,---,"$146,256,104.52","1,654,668"
,2885937,Textron Inc,TXT,0.09%,Aerospace & Defense,US,---,"$145,936,474.29","1,638,447"
,2066408,Avery Dennison Corp,AVY,0.09%,Containers & Packaging,US,---,"$145,772,110.07","673,219"
,2325507,Expeditors International of Washington Inc,EXPD,0.09%,Air Freight & Logistics,US,---,"$145,357,654.00","1,215,365"
,B01R311,Regions Financial Corp,RF,0.09%,Banks,US,---,"$144,963,793.26","7,781,202"
,2440637,CenterPoint Energy Inc,CNP,0.09%,Multi-Utilities,US,---,"$144,710,032.50","5,262,183"
